feature,Prin1,Prin2,Prin3,Prin4,Prin5,Prin6,Prin7,Prin8,Prin9,Prin10,Prin11,Prin12,Prin13,Prin14,Prin15,Prin16,Prin17,Prin18,Prin19,Prin20,Prin21,Prin22,Prin23,Prin24,Prin25,Prin26,Prin27,Prin28,Prin29,Prin30,Prin31,Prin32,Prin33,Prin34,Prin35,Prin36,Prin37,Prin38,Prin39,Prin40,Prin41
xvelocity-min,-0.0067,0.03631,-0.00714,0.34535,-0.24521,0.28893,-0.15257,-0.06791,-0.00692,-0.07015,0.02851,-0.06408,-0.1128,0.04234,-0.04833,-0.01369,-0.51117,0.36061,-0.03932,0.01296,0.0445,0.51334,-0.13501,-0.05514,0.02238,0.01666,-0.00386,-0.00519,-0.0113,-0.00473,0.00473,0.00464,0.00807,-0.0008,0.00192,0.00067,-0.00032,2E-05,-8E-05,0.00011,-2E-05
xvelocity-max,0.24064,-0.08772,0.01295,0.00399,0.01805,-0.01801,0.00377,-0.25476,0.08203,0.00886,-0.00258,0.02761,0.01779,0.00143,-0.02445,0.01149,-0.0156,-0.02435,-0.01114,-0.07348,-0.00923,0.00461,0.00162,-0.01462,-0.08677,0.06258,0.06235,-0.05178,0.00205,0.007,0.05175,7E-05,0.01322,0.01144,0.01399,-0.15816,0.42705,-0.13152,0.23537,-0.22534,0.03514
xvelocity-range,0.24064,-0.08772,0.01295,0.00399,0.01805,-0.01801,0.00377,-0.25476,0.08203,0.00886,-0.00258,0.02761,0.01779,0.00143,-0.02445,0.01149,-0.0156,-0.02435,-0.01114,-0.07348,-0.00923,0.00461,0.00162,-0.01462,-0.08677,0.06258,0.06235,-0.05178,0.00205,0.007,0.05175,7E-05,0.01322,0.01144,0.01399,-0.15816,0.42705,-0.13152,0.23537,-0.22534,0.03514
yvelocity-mean,0.21716,-0.06125,-0.10936,0.15104,0.12175,-0.04028,-0.04993,0.24561,-0.08877,-0.0148,0.01626,-0.01298,-0.00476,-0.00501,0.04547,-0.07608,0.14783,0.21207,-0.01591,0.10265,-0.03463,-0.01529,-0.01801,-0.03346,-0.08306,0.05318,0.01011,-0.02644,-0.02574,-0.01748,0.24619,-0.01199,0.03757,0.06395,0.12179,0.6253,0.31882,0.36342,0.11074,0.08044,0.04568
yvelocity-median,0.06669,0.28156,0.04382,0.0715,0.05896,-0.01075,0.19422,-0.0792,-0.13529,-0.01959,-0.05118,0.03141,-0.01416,0.03643,-0.02953,0.04577,0.02244,0.07106,0.08682,0.01822,0.15006,-0.08174,-0.46746,0.65377,0.01117,0.21155,0.19585,0.23808,-0.00927,-0.034,-0.00749,0.06491,-0.02496,0.00893,0.0111,0.00753,0.00249,-0.00016,0.00028,0.00035,-7E-05
yvelocity-mode,0.00774,0.07331,-0.03345,0.05473,-0.03101,-0.0142,0.28034,0.04068,0.22229,-0.13964,0.78634,0.3217,-0.23578,0.09863,0.20657,0.04354,0.01184,-0.01014,0.05916,0.01148,0.04006,0.01282,0.05052,-0.00774,-0.00464,0.00266,0.00361,-0.00271,-0.00571,-0.00254,-0.00101,-0.00786,-0.00351,4E-05,-0.00018,0.00326,0.00102,-0.0001,-0.00011,4E-05,1E-05
yvelocity-iqr,0.08102,0.21938,-0.12383,0.01281,0.11576,0.1766,0.30084,0.02213,0.00216,-0.07121,-0.03952,-0.01921,0.05711,-0.13438,0.05977,-0.14228,-0.06103,-0.15531,-0.21205,-0.06383,-0.36949,-0.05419,-0.49156,-0.36624,0.01547,-0.12053,-0.02838,0.07994,0.22266,0.26544,0.05338,0.06316,0.02753,-0.00653,-0.00317,-0.01686,-0.00726,-0.00115,0.0011,-0.00019,-0.00037
yvelocity-stdev,0.24076,-0.08768,-0.06461,0.10491,0.09304,-0.04685,-0.03413,0.01797,-0.0052,0.00046,0.00997,0.0022,-0.00822,0.00688,0.00493,-0.01399,0.04718,0.07093,-0.00241,-0.05785,0.01384,-0.00383,-0.00734,0.03021,0.22479,-0.16391,-0.15826,0.13992,0.01073,-0.0178,-0.29989,0.01826,-0.06474,-0.04497,-0.0812,0.22985,-0.23702,-0.28551,0.5291,0.0325,-0.44443
yvelocity-min,-0.00407,0.03687,-0.031,0.32303,-0.24768,0.26212,-0.16277,-0.04384,0.05003,-0.10974,-0.03101,-0.0458,-0.16912,-0.05747,-0.07892,-0.03959,0.6256,-0.41553,0.10594,-0.00904,-0.00796,0.31025,-0.05508,0.02161,0.01342,0.03501,0.0055,0.0119,-0.01767,0.0197,-0.00447,-0.00423,0.00786,-0.00214,-0.00046,-0.0008,-0.00032,-0.00021,-2E-05,8E-05,0
yvelocity-max,0.24078,-0.08754,0.01278,0.0046,0.01857,-0.01836,0.00436,-0.25377,0.08151,0.00864,-0.00306,0.02803,0.01789,0.00155,-0.02463,0.01173,-0.01454,-0.02335,-0.01152,-0.07343,-0.01105,0.00482,0.00309,-0.01411,-0.08285,0.06149,0.05747,-0.04666,0.00143,0.00529,0.05147,-0.0004,0.00947,0.00661,0.0171,0.15225,-0.40779,0.17978,-0.08071,-0.31959,0.06472
yvelocity-range,0.24078,-0.08754,0.01278,0.0046,0.01857,-0.01836,0.00436,-0.25377,0.08151,0.00864,-0.00306,0.02803,0.01789,0.00155,-0.02463,0.01173,-0.01454,-0.02335,-0.01152,-0.07343,-0.01105,0.00482,0.00309,-0.01411,-0.08285,0.06149,0.05747,-0.04666,0.00143,0.00529,0.05147,-0.0004,0.00947,0.00661,0.0171,0.15225,-0.40779,0.17978,-0.08071,-0.31959,0.06472
acceleration-mean,0.2219,0.03292,-0.02749,0.06338,0.05323,-0.01317,-0.07131,0.34991,-0.0802,0.01332,0.00427,-0.04314,-0.05748,0.0197,-0.01136,0.11637,-0.21382,-0.29649,0.06276,0.11955,0.01023,0.00683,0.01584,-0.03602,-0.204,0.14558,0.44298,-0.29335,0.09693,0.05835,-0.32208,0.0272,-0.05123,-0.14029,-0.38427,0.04985,0.01118,-0.00426,-0.00082,-0.0006,-0.00023
acceleration-median,0.06119,0.30728,0.07359,-0.00969,0.06811,-0.01569,-0.12593,-0.05561,0.00845,0.01379,-0.02463,0.0996,-0.01772,0.00432,-0.03412,0.06306,0.03119,0.06919,0.13869,0.03578,-0.10821,0.0093,0.06289,-0.02143,0.15725,-0.06626,-0.02838,-0.25161,0.02145,0.03998,0.13601,0.30101,-0.62068,0.46119,-0.10545,-0.01464,-0.00743,-0.00431,-0.00073,-0.0007,-0.0006
acceleration-mode,0.03273,0.15599,-0.06711,-0.04513,0.0632,0.10028,-0.08681,-0.07523,0.08902,0.14417,0.34062,-0.70707,0.27328,0.05459,0.12316,-0.1903,-0.01412,0.00413,0.39458,-0.05681,-0.04994,-0.0387,0.0246,0.01816,-0.02601,0.01822,-0.00661,0.0312,0.01445,0.00599,-0.00956,-0.02039,0.01384,0.00672,-0.00217,0.0018,-0.00037,-0.00023,0.00017,-4E-05,-4E-05
acceleration-iqr,0.06496,0.3056,0.04305,-0.03021,0.07108,0.00155,-0.12996,-0.03963,0.02968,-0.0088,-0.02313,0.10291,-0.00117,-0.01068,-0.0201,0.05358,-0.00271,0.03384,0.00948,0.01346,-0.29633,0.04344,0.10744,0.05027,0.13674,-0.04874,0.16271,0.01761,0.08157,-0.09741,0.01555,-0.75268,-0.23252,-0.21379,0.15741,0.00311,0.00665,0.00723,0.00331,0.00177,0.00096
acceleration-stdev,0.23556,-0.05004,0.02521,-0.00739,-0.04094,0.00984,0.00335,0.19282,-0.02885,0.0176,-0.00375,-0.05686,-0.04591,0.02426,-0.01878,0.12206,-0.26265,-0.3811,0.08847,0.06702,0.13,-0.00194,0.00873,0.09352,0.33192,-0.20252,0.07883,-0.1058,0.04891,0.05723,0.06332,0.01049,0.18586,0.25253,0.58994,-0.0515,-0.01886,0.0038,0.00213,-0.00017,0.00042
acceleration-min,-0.00392,-0.01396,-0.04599,0.20339,-0.17749,0.16535,-0.03136,0.04977,-0.08857,0.07059,0.05441,0.3471,0.7767,0.3705,0.05415,0.07106,0.02313,-0.07434,-0.0007,-0.01724,-0.02771,-0.04,0.00912,0.00589,0.00113,-0.00917,-0.0033,-0.00166,0.00193,0.00684,-0.00613,0.01271,0.00414,-0.00162,-0.00214,-0.00078,8E-05,1E-05,-3E-05,-8E-05,0
acceleration-max,0.2052,-0.02912,0.15654,-0.17352,-0.20294,0.08605,0.06114,-0.01165,0.00412,-0.00864,-0.0126,-0.0118,0.01621,-0.02576,0.02523,-0.00477,-0.05432,-0.08204,0.0545,0.47982,-0.02967,-0.00546,-0.01505,-0.00143,0.00207,-0.02217,-0.18174,0.14917,-0.05316,-0.04357,0.11491,-0.02236,-0.04752,-0.06999,-0.1501,0.00836,0.00463,-0.00084,-0.00029,0.00044,-0.00013
acceleration-range,0.2052,-0.02912,0.15654,-0.17352,-0.20294,0.08605,0.06114,-0.01165,0.00412,-0.00864,-0.0126,-0.0118,0.01621,-0.02576,0.02523,-0.00477,-0.05432,-0.08204,0.0545,0.47982,-0.02967,-0.00546,-0.01505,-0.00143,0.00207,-0.02217,-0.18174,0.14917,-0.05316,-0.04357,0.11491,-0.02236,-0.04752,-0.06999,-0.1501,0.00836,0.00463,-0.00084,-0.00029,0.00044,-0.00013
jerk-mean,0.14149,0.22489,0.12918,-0.02501,0.03015,-0.04055,-0.18307,0.19777,-0.02107,0.02753,0.02077,0.03515,-0.05486,0.04157,-0.03957,0.1768,-0.10035,-0.14047,-0.01135,-0.1835,-0.10861,0.01768,0.00907,-0.11071,-0.46134,0.28743,-0.38613,0.30659,-0.11334,-0.09689,-0.21337,0.06942,-0.09661,0.0632,0.28802,-0.03087,-0.00705,0.00343,0.00016,-0.00015,-5E-05
